"HYDRO_YEAR","SEP","OCT","NOV","DIC","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO"
1964,28.5,42.5,55.9,56.5,132.5,134.4,106.5,71.5,4.5,0,1,0
1965,0,31,75.5,142,119,115.2,55.1,36,22.5,NA,NA,5
1966,48.5,89.5,109,41.8,67.5,120.6,164.4,53,10.4,2.1,17,6.6
1967,8,84.1,83.4,103,99.4,153.2,110,31.8,3,2,35,8.4
1968,21.6,34.8,164.2,102,153.4,104.2,159.2,29.8,0,1.8,10.8,0
1969,24.6,28,109.6,110.5,163.5,126.4,91.6,74.8,8.4,0,3,0
1970,44.6,51,80.4,206.4,163.8,151.6,98.6,36.2,1,0.1,0,9.8
1971,1.4,66.4,70.2,149.3,209,46.2,156.7,42.6,0.6,0,12.2,27.6
1972,19.8,12.6,76.3,128.8,219.6,187.2,111.2,72.6,12,2.8,10.4,8.7
1973,17.2,26,101.2,117.2,137.2,190.5,138,72.8,9.2,17.8,0,41.2
1974,10.8,29,38.4,91.2,114.6,194.2,96.2,79.5,13,1.4,0,1
1975,8,47,55,186.2,164.7,112.1,138.8,52.4,11,10.4,27,0
1976,29,9.2,48,87.2,110.2,138.3,113.3,51,4.2,0,0,5
1977,20.4,84.4,175,125.1,172.2,92.2,143.8,60.5,13.2,0,0,0
1978,16.5,7.4,99,108.6,80,123,140,49.4,10.6,0,0,6.6
1979,12,22,95.6,93.6,118,116,151.8,20.4,4,0,1,2.2
1980,2.4,74.6,94.2,93.8,156.5,101.6,146,118,5.7,2,0,10.7
1981,24.5,96.8,78.9,105.7,236.7,140.8,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,65,NA,79,81,59,57,0,0,0,0
1985,23,52.8,128.3,132.7,100.1,152.1,115.8,44.8,18.7,0,0,0
1986,0,24.8,62.5,80.8,190.1,134.2,73.2,0,0,NA,33.4,0
1987,0,25.2,100.6,165,223.3,138.5,241.5,93.6,0,0,0,0
1988,0,8.1,43,107.3,186.1,102.8,136.4,30.2,26.3,0,0,4.4
1989,6.1,24.2,50,34.9,129.8,59.3,24.6,3.2,0,36.6,0,16.6
1990,15,122.4,86.8,36.6,53.9,169.5,133.2,28.1,0,23.3,0,0
1991,4.4,41,NA,72.6,128.8,137.8,40.8,18.8,0,20.6,0,0
1992,0,0,0,0,145.1,428.7,106.1,37.1,6.8,0,0,22.8
1993,59.4,188.8,228,555,598.8,384.1,417.1,50.9,32.5,NA,0,0.3
1994,39.5,87,186,255.7,194.7,47.5,224.9,19.9,1.8,5.2,0.6,0
1995,22.8,15.6,94.6,313.3,375.7,390.3,130.8,22.9,11.1,0.6,0.2,13.3
1996,18.8,44,84.1,237.2,NA,126.9,158.9,26.4,8.8,0,0,15.5
1997,7.1,51.5,181.3,362.8,150.9,141.4,131.6,NA,0,3.4,0,0.3
1998,11.5,62.8,55.8,69.3,288.5,321.5,218.9,66.9,7.2,0,0.2,6.2
1999,58.1,94.3,105.9,215.8,184.7,214,143.8,40.8,1.6,18.5,0.6,5.4
2000,13.9,147.7,43.6,189.7,507.9,187.2,410.5,33.7,11.4,0,40,37
2001,13.3,145.4,100.1,135.4,185.4,296.7,220.1,78.5,25.6,11.1,81.8,9.9
2002,59.8,105.8,114.8,170.8,167.5,181.1,206,35.1,7,7.5,0,31.2
2003,10.8,62.3,41.9,169.9,254.4,182.9,53.4,47.8,2.5,26.9,25.7,11.1
2004,35.2,46.1,91.2,112.8,120.1,97.1,86.1,38.3,1.8,0,4,11.8
2005,9,30.6,64.6,125.5,216.7,143.8,143.5,68.8,0,13.9,0,1.6
2006,5.4,68.4,100.9,116.3,120.6,117,89.1,98.7,30.4,0,0.8,0
2007,2.6,71,83.1,181.4,153.1,117.3,97.4,20.9,8.2,1.5,0,8.5
2008,14.6,122.8,135.6,139.8,166.2,171.9,97.5,11,14.9,0,19.3,0
2009,17.5,34.8,286.4,132.5,291.9,184.1,158,26,2.4,5.2,3.4,3.5
2010,12.1,89.6,54.7,184.9,138.3,259.3,221.2,83.7,13.6,4.5,16.8,16.6
2011,52.2,85.2,77,139.2,149.6,174.7,113.7,47.5,1.8,2.8,4.4,0
2012,45.1,26.8,125.7,207.3,161.6,163,80.5,7,1.9,6.1,0.1,18.3
2013,3.2,103.6,111.2,158.9,134.5,123.5,71.1,46.3,8.9,0,0,1.3
2014,11.5,62.9,37.6,160.8,189.5,103.5,93.3,79.2,2.9,2.3,6.2,7.2
2015,31.5,50.9,75.4,117.5,140.9,245.7,70.9,25,7.3,0.3,3,17.7
2016,18.2,71.6,85.6,101.3,107.8,110.1,172.9,69.6,7.6,0,1.8,17.4
2017,11,71.9,85.9,92.1,145.1,NA,NA,NA,NA,NA,NA,NA
